DC_Real_Property_ID,Address_of_Record,Owner_of_Record,Ward,Year,Property_Name,Address_1,Postal_Code,Primary_Property_Type,Year_Built,_Reported_Building_Gross_Floor_Area_ft_,Site_EUI_kBtu/ft,Weather_Normalized_Source_EUI_kBtu/ft,ENERGY_STAR_Score,Total_GHG_Emissions_MtCO2e,Electricity_Use_-_Grid_Purchase_and_Onsite_kWh,Natural_Gas_Use_therms
43590834,2800 V ST NE,2800 V STREET LIMITED PARTNERSHIP,5,2011,2800 V ST NE,2800 V ST NE,20018,Office,1950,"242,810",0,,0,0,,
44930001,1501 MARYLAND AV NE,MARYLAND CROSSING REALTY LLC,5,2011,Hechinger Mall,1601 Maryland Ave,20002,Office,1979,"207,990",83.8,,0,2023.7,4378425,24824.8
57250803,2700 - 2722 SHIPLEY TR SE,ROCKBURNE ESTATES LP,8,2011,Rockburne Estates,2700 - 2722 Shipley Terrace,20020,Multifamily Housing,1964,"247,632",16.1,,0,211,,39750.53
58690068,2607 BOWEN RD,OXFORD MANOR LP,8,2011,Oxford Manor Apartments,"2607 Bowen Road, SE",20020,Multifamily Housing,1977,"291,302",50,101.5,0,1326.87,1828450,83350
62190032,4301 3RD ST,ATLANTIC TERRACE LTD,8,2011,Atlantic Terrace Ltd.,"4301 3rd St., SE",20032,Multifamily Housing,1964,"200,839",4.2,11.6,0,100.05,183084,2178.8
"00160093, 00160863",0950 25TH ST NW,CLARIDGE H COOPERTVE,2,2011,950 25th Street Northwest,950 25th Street Northwest,20037,Multifamily Housing,1960,"373,216",0,,0,0,,
"00750861, 00750863",2100 PENNSYLVANIA AV NW,GEORGE WASHINGTON UNIVERSITY,2,2011,2100 Pennsylvania Avenue,2100 Pennsylvania Avenue,20037,Office,1966,"482,250",105.3,283.1,69,3742.6,7736037,75370.006
"01220824, 01220825",0514 19TH ST NW,GEORGE WASHINGTON UNIVERSITY,2,2011,Thurston & Mitchell Halls,"519 19th St & 1900 F St, NW",20052,College/University,1929,"317,213",64.3,142,78,1933.58,2811468.3,107877.1
"01830883, 01830884",1145 17TH ST,NATIONAL GEOGRAPHIC SOCIETY,2,2011,NGS Headquarters,"1145 17th St, NW and 1600 M Street, NW",20036,Office,1964,"899,535",91.6,235.6,70,7276.4,14535510,187623.522
"02860818, 02860819",1201 NEW YORK AV NW,1201-1225 NEW YORK AVE SPE LLC,2,2011,1201& 1225  New York Ave.,"1201 New York Avenue, NW",20005,Office,1988,"609,475",51.9,162.7,87,0,7740073,
"03870869, 03877000, 04357000",0420 10TH ST SW,POTOMAC CREEK ASSOCIATES LP,6,2011,L Enfant Plaza - EAST,"470/480/490 L'Enfant Plaza, SW",20024,Office,1905,"836,504",97,251.1,67,9184.24,16130517,261369
"04080836, 04080837",0701 PENNSYLVANIA AV NW,WELLS REIT II MARKET SQUARE EAST & WEST LLC,2,2011,04080837_Market Square,701 & 801 Pennsylvania Ave NW,20004,Office,1990,"704,156",71.2,237.7,74,7095.48,14685316,
"04557001, 04550842",0616 H ST,GALLERY PLACE LAND TRUST,2,2011,Gallery Place,616 H. Street,20001,Office,2004,"590,054",129.9,388.7,56,9887.5,19264200.3,108955.4
0516S0861,455 MASSACHUSETTS AV,SQUARE 516S OFFICE VENTURE LLC,6,2011,455 Mass. Avenue,455 Massachusetts Ave.,20001,Office,2008,"259,723",58.5,187.7,91,2151.16,4452197.1,
0516S0861,455 MASSACHUSETTS AV,SQUARE 516S OFFICE VENTURE LLC,6,2011,455 Mass Ave,455 Massachusetts Ave NW,20001,Office,2008,"247,330",61.4,198.4,85,2151.16,4452197.1,
"0516S0862, 0516S0036",425 MASSACHUSETTS AV,EQR-425 MASSACHUSETTS LLC,6,2011,425 Mass,425 Massachusetts Ave NW,20001,Multifamily Housing,2009,"604,591",50.6,117,0,3029.64,4648427.4,147306
"05400109, 05400118",0201 I ST SW,CAPITAL PARK APARTMENTS LTD PRTNSHP,6,2011,Capital Park Plaza,201 I St SW,20024,Multifamily Housing,1965,"546,234",95.6,191.6,0,4705.95,6390800,304156
,2500 Q ST NW,GATEWAY GEORGETOWN CONDO,2,2011,Gateway Georgetown,2500 Q St NW,20007,Multifamily Housing,1941,"244,000",82.6,147.3,0,1649.96,1914925.8,136227
